"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","Description"
"14679",1041.43418845956,-0.136309282921488,0.0676961848768289,-2.01354453237651,0.0440573750124695,0.244635077442946,"Gnai3","G protein subunit alpha i3"
"12544",11.7573843949013,-0.0439674100517975,0.253910717290509,-0.173160906798167,0.862524951247989,NA,"Cdc45","cell division cycle 45"
"11818",21217.4892749356,0.0524773499376445,0.0399102991791975,1.3148823992028,0.188549428895153,0.50251371947208,"Apoh","apolipoprotein H"
"67608",351.282023685383,0.0284329811827346,0.0797686693181156,0.356442967217424,0.721508856361672,0.897050053925383,"Narf","nuclear prelamin A recognition factor"
"12390",15.0976704268689,-0.0928314261854558,0.205681474665138,-0.451335864528348,0.651747499960547,NA,"Cav2","caveolin 2"
"23849",153.361687883677,0.187903339895341,0.120467723701553,1.55978160889677,0.118811498985558,0.405051309882379,"Klf6","Kruppel-like transcription factor 6"
"29871",66.8608516292005,0.11483478543141,0.109100524390598,1.0525594269399,0.292542960705976,0.616794414264067,"Scmh1","Scm polycomb group homolog 1"
"12858",6939.17423776381,-0.139322663535931,0.0449041201414231,-3.1026699353454,0.00191783404880793,0.0424193793354283,"Cox5a","cytochrome c oxidase subunit 5A"
"21385",30.4477358479333,-0.0926437899446688,0.150335690714501,-0.616246145571691,0.53773207666943,NA,"Tbx2","T-box 2"
"18053",15.2241942995697,0.0847832582440668,0.277994292848787,0.304982010152935,0.760379853835039,NA,"Ngfr","nerve growth factor receptor (TNFR superfamily, member 16)"
"14158",46.1185064255257,0.174029886251718,0.154218529319551,1.12846288328374,0.259124483623015,NA,"Fer","FER tyrosine kinase"
"74204",303.02215647641,0.000105220677902643,0.0504686606521466,0.00208487161226395,0.998336514334428,0.999329200932298,"Xpo6","exportin 6"
"209446",163.32202293496,0.0191071986980127,0.0759558276385245,0.251556717793192,0.801383717074891,0.928855755415352,"Tfe3","transcription factor E3"
"12006",51.342691097562,0.0751268090333378,0.140514328131599,0.53465586059649,0.592887848795546,NA,"Axin2","axin 2"
"231841",62.6293113088478,0.0685866183247707,0.0996283835528123,0.688424481848724,0.49118551124478,0.776483351080598,"Brat1","BRCA1-associated ATM activator 1"
"14673",1387.83662376967,-0.0289183965885334,0.064146961161959,-0.450814755129552,0.652123065940859,0.863314323588847,"Gna12","guanine nucleotide binding protein, alpha 12"
"18400",1182.76101321215,-0.0188937280972769,0.0612663064766346,-0.308386928865745,0.757787926887595,0.910363346983873,"Slc22a18","solute carrier family 22 (organic cation transporter), member 18"
"72058",150.661460027251,0.0213895152497155,0.0696054922401329,0.307296372187464,0.758617796770129,0.911120347542639,"Igsf5","immunoglobulin superfamily, member 5"
"235339",400.667434311632,0.192964795325982,0.0805599468267133,2.39529447233939,0.0166070217836383,0.145259692935889,"Dlat","dihydrolipoamide S-acetyltransferase"
