"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Symbol","Description"
"14679",912.551159070884,0.262477793726922,0.0537888771575841,4.87977826638668,1.06205177652393e-06,2.85589148680759e-05,"Gnai3","G protein subunit alpha i3"
"12544",12.5804346461493,-0.224886555019201,0.222688426123902,-1.00987087175369,0.31255715970306,0.539361678847234,"Cdc45","cell division cycle 45"
"11818",21553.1614179745,0.0158957142475135,0.0445971739206416,0.356428734156991,0.721519513744206,0.859308505558391,"Apoh","apolipoprotein H"
"67608",336.347153372084,0.167854581021184,0.0748154015421127,2.24358324036663,0.0248592285865286,0.10511998452687,"Narf","nuclear prelamin A recognition factor"
"12390",14.5551601770988,0.00919962697188435,0.201644315234872,0.0456230415480285,0.963610703792048,0.983399772117599,"Cav2","caveolin 2"
"23849",160.048580710141,0.0692925678174159,0.137888136255439,0.502527408805139,0.61529657731823,0.794226397350107,"Klf6","Kruppel-like transcription factor 6"
"29871",65.7348129190954,0.177198601454217,0.106543917941417,1.66315079150411,0.0962822549677567,0.263618353623117,"Scmh1","Scm polycomb group homolog 1"
"12858",6158.54768390813,0.219198389429777,0.0432985846761827,5.06248393727179,4.13828941731001e-07,1.22329009158497e-05,"Cox5a","cytochrome c oxidase subunit 5A"
"21385",31.9681615048444,-0.221054187958646,0.153730922392116,-1.43792923713039,0.150454133092597,0.350853875455023,"Tbx2","T-box 2"
"18053",15.8195878334195,-0.0225262510954667,0.330388306269201,-0.0681811391869067,0.945641440777333,0.975182344645241,"Ngfr","nerve growth factor receptor (TNFR superfamily, member 16)"
"14158",49.5522659723547,-0.0281435707924516,0.137916147249599,-0.204062913253498,0.838304335429861,0.921832504635915,"Fer","FER tyrosine kinase"
"74204",311.313034767907,-0.0675364821249593,0.0568510580388004,-1.1879547092838,0.234851253666537,0.457696395861344,"Xpo6","exportin 6"
"209446",166.674854974493,-0.0306127833121661,0.083647507015156,-0.365973648283617,0.714384739165178,0.854958561604774,"Tfe3","transcription factor E3"
"12006",57.4346202168873,-0.230239905495195,0.15669434050602,-1.4693568686123,0.141736019545705,0.337832098436808,"Axin2","axin 2"
"231841",64.9155706824939,-0.0289278883936163,0.093008160717804,-0.311025271012362,0.755781410262915,0.878577996784529,"Brat1","BRCA1-associated ATM activator 1"
"14673",1277.44004786255,0.228389892727569,0.0572946540104214,3.98623391086413,6.7130334052902e-05,0.00094847197400846,"Gna12","guanine nucleotide binding protein, alpha 12"
"18400",1075.97936656438,0.276009817267341,0.0676122915653519,4.08224319686841,4.460308596223e-05,0.000665533397221628,"Slc22a18","solute carrier family 22 (organic cation transporter), member 18"
"72058",156.318180547779,-0.0738550081777352,0.0781205946663424,-0.945397414000421,0.344456021944627,0.572141086396866,"Igsf5","immunoglobulin superfamily, member 5"
"235339",470.480059052812,-0.256561617243681,0.0850501813028221,-3.01659106792718,0.00255634417385918,0.0186868892934288,"Dlat","dihydrolipoamide S-acetyltransferase"
"66925",679.755249970854,0.257330907858388,0.0637779408716834,4.03479485761572,5.46500232579025e-05,0.000795510932266371,"Sdhd","succinate dehydrogenase complex, subunit D, integral membrane protein"
"12444",177.125912569352,-0.245392413583044,0.163988508888427,-1.49640005416479,0.134549435457882,0.327571289128768,"Ccnd2","cyclin D2"
"277463",104.174380025854,0.12291566336096,0.0773181859391923,1.58973806573305,0.111893859522246,0.291726609563421,"Gpr107","G protein-coupled receptor 107"
"16870",39.3863250572108,-0.110898498117118,0.133252978828389,-0.832240292803806,0.40527332477648,0.625412311170753,"Lhx2","LIM homeobox protein 2"
"66355",17.4042962886376,0.167896585006454,0.193141937714463,0.869291190682103,0.384687880031221,0.607851389292379,"Gmpr","guanosine monophosphate reductase"
"23947",16.8739387315473,-0.0593232505047191,0.200602721119051,-0.295725053846666,0.76744006230151,0.885093813169131,"Mid2","midline 2"
"217069",607.573459523237,0.0347816991782477,0.0642369919603864,0.541459027217476,0.588191231364601,0.77296302227882,"Trim25","tripartite motif-containing 25"
"56077",15.0703426125946,-0.450112286067124,0.239379506364376,-1.8803292433145,0.0600632201804779,0.195224981839536,"Dgke","diacylglycerol kinase, epsilon"
"74617",583.7019153678,-0.0206246643221488,0.0507639442322589,-0.406285694188485,0.684532695506062,0.835060870953226,"Scpep1","serine carboxypeptidase 1"
"17428",82.5131149888356,-0.0894840968942019,0.135620066152691,-0.659814579307563,0.509372826200467,0.713795564138814,"Mnt","max binding protein"
"16414",74.5056686486284,-0.204180331673258,0.180061943606535,-1.13394495018573,0.256817640333508,0.483535017998138,"Itgb2","integrin beta 2"
"69692",17.8640722698478,-0.195083341041019,0.203580069679027,-0.958263455497366,0.337929926594304,0.565605988612371,"Hddc2","HD domain containing 2"
"21987",184.118950327935,0.165959010186537,0.0685502007734845,2.4209850345286,0.0154785144963447,0.0740127515343383,"Tpd52l1","tumor protein D52-like 1"
"18618",3095.86520563425,0.162838717515364,0.0454996926352513,3.57889708883885,0.000345047296699316,0.00372579568042163,"Pemt","phosphatidylethanolamine N-methyltransferase"
"12550",114.02533475532,-0.228928301800988,0.340455949552989,-0.672416804880531,0.50131838742853,0.707184692735372,"Cdh1","cadherin 1"
"12561",16.792669721637,-0.349729945214199,0.226513279296983,-1.54397104796521,0.122595346588415,0.309058914060795,"Cdh4","cadherin 4"
"12029",12.7114146853348,-0.387203142587015,0.235673945918291,-1.64296117281144,0.100390966893187,0.27206082575475,"Bcl6b","B cell CLL/lymphoma 6, member B"
"12846",3966.45855405841,-0.421331458621146,0.0921072838466188,-4.57435548010259,4.77688200508401e-06,0.000101581858148929,"Comt","catechol-O-methyltransferase"
"66368",87.0995914825786,-0.0272057756895621,0.10123773054475,-0.268731583997099,0.788136245008336,0.89605501832872,"Rtca","RNA 3'-terminal phosphate cyclase"
"13171",553.453154873037,0.281646221496458,0.0865828951243973,3.25290833820935,0.00114230338831922,0.00978312436133122,"Dbt","dihydrolipoamide branched chain transacylase E2"
"23994",1787.07839383487,0.0888180441588663,0.0312671330258481,2.84062002376239,0.00450259259309368,0.0289313554902587,"Dazap2","DAZ associated protein 2"
"68995",373.635982516738,0.0937569558951419,0.0481546857753011,1.9469954872643,0.0515352756965571,0.175537207112435,"Mcts1","malignant T cell amplified sequence 1"
"216131",140.337619135526,-0.219985769844571,0.0947986277469407,-2.32055858901049,0.0203106793680878,0.0906046146338102,"Trappc10","trafficking protein particle complex 10"
"216527",128.184152476949,0.123350739032926,0.10152924375693,1.21492817703083,0.224393485932432,0.44563122028615,"Ccm2","cerebral cavernous malformation 2"
"21379",157.408144049749,0.0249071438918111,0.0743494131312262,0.335001217129315,0.737624168080872,0.869134244033474,"Tbrg4","transforming growth factor beta regulated gene 4"
"50528",23.685220780315,0.147262874326935,0.170349977653826,0.864472519193355,0.387328370271621,0.61019276998325,"Tmprss2","transmembrane protease, serine 2"
"66108",911.967707577326,0.0934871827956266,0.0481924934930794,1.93987021669779,0.0523954644752115,0.177212033486082,"Ndufa9","NADH:ubiquinone oxidoreductase subunit A9"
"14423",242.936234234243,-0.0101400658162679,0.0627184032218581,-0.161676083818633,0.871560939080766,0.939168394505852,"Galnt1","polypeptide N-acetylgalactosaminyltransferase 1"
"67027",126.479081491298,0.0854701133237024,0.0822595305685255,1.03902991827193,0.298790822176559,0.524650000532247,"Mkrn2","makorin, ring finger protein, 2"
"19016",126.985761878011,-0.04939055329225,0.159226489724479,-0.310190555464195,0.756416052217725,0.878853959945218,"Pparg","peroxisome proliferator activated receptor gamma"
"110157",491.214285026673,0.0931974935205443,0.0563094052724855,1.65509639232655,0.0979049465842836,0.266754268115299,"Raf1","v-raf-leukemia viral oncogene 1"
"54204",25.8220622763255,-0.0155860188890801,0.182443229715093,-0.0854294177614566,0.931920006652356,0.969839446331773,"Septin1","septin 1"
"18591",32.7189064112899,0.118445745600658,0.181301248865235,0.653309044157225,0.51355706296778,0.717491023549684,"Pdgfb","platelet derived growth factor, B polypeptide"
"11482",18.7486082931609,-0.27831590383092,0.19928137843726,-1.39659764506568,0.162534598862402,0.367986651990936,"Acvrl1","activin A receptor, type II-like 1"
"56149",28.4802452110871,-0.119124114800246,0.1569079444694,-0.75919747214251,0.447734438008056,0.663319356328607,"Tamalin","trafficking regulator and scaffold protein tamalin"
"11479",94.7936124729413,0.256294019455625,0.13186713342746,1.94357769668674,0.0519463975419334,0.175978801101148,"Acvr1b","activin A receptor, type 1B"
"216810",153.327563982736,-0.0580557554056967,0.0803914590183316,-0.722163226226038,0.470194129452397,0.683005041202692,"Tom1l2","target of myb1-like 2 (chicken)"
"29813",155.495234156817,-0.156143011409943,0.129838598636443,-1.20259316605191,0.229133793541658,0.451053046984398,"Zfp385a","zinc finger protein 385A"
"16402",83.3227338307662,0.0296116014921768,0.104776921596376,0.282615685219759,0.777471455256023,0.890179821862346,"Itga5","integrin alpha 5 (fibronectin receptor alpha)"
"70465",173.109695167178,-0.0247127683487736,0.0738567185097311,-0.334604201857649,0.73792367483301,0.869162260899983,"Wdr77","WD repeat domain 77"
"11950",3683.18579338846,0.160996160538701,0.0378299452691072,4.25578624006558,2.08315662846861e-05,0.000347303873098287,"Atp5pb","ATP synthase peripheral stalk-membrane subunit b"
"20682",119.260227518612,-0.0127306055746691,0.121317864486352,-0.104935951754256,0.916426631067026,0.961315538979523,"Sox9","SRY (sex determining region Y)-box 9"
"11991",511.11538995073,0.115325314384388,0.0752802998974042,1.53194546968542,0.125535891698625,0.314002958551632,"Hnrnpd","heterogeneous nuclear ribonucleoprotein D"
"100040563",48.3999244736369,0.232114576356447,0.115147864759644,2.01579574958647,0.0438213382099065,0.157499860010541,"Dynlt1c","dynein light chain Tctex-type 1C"
"57316",970.344291595604,0.00990865996190938,0.0488684483403147,0.202761910771271,0.839321130286535,0.922463866845639,"C1d","C1D nuclear receptor co-repressor"
"14667",1624.58538289594,-0.199927784428768,0.0909148164950158,-2.19906712829067,0.0278731494698545,0.11453363817649,"Gm2a","GM2 ganglioside activator protein"
"79264",173.549181633415,-0.240016601407503,0.0802548424395404,-2.99068061330154,0.00278356462849525,0.0199212690720323,"Krit1","KRIT1, ankyrin repeat containing"
"12727",563.958011705111,-0.0924954781086175,0.0503505518849775,-1.83703007506089,0.0662054556604044,0.207217275989411,"Clcn4","chloride channel, voltage-sensitive 4"
"15277",15.998446360935,-0.110585059573982,0.301833523110398,-0.366377658897533,0.714083288163888,0.854868497722824,"Hk2","hexokinase 2"
"360013",341.490162287238,0.245878784725118,0.0627159910135387,3.92051183042039,8.83610978748137e-05,0.00119058962050288,"Myo18a","myosin XVIIIA"
"107766",2404.42852212445,0.000695840355009563,0.0609443280830003,0.0114176392930593,0.990890239816181,0.995347972257513,"Haao","3-hydroxyanthranilate 3,4-dioxygenase"
"23833",160.694877084533,0.113014184522152,0.121910970405874,0.927022269988479,0.353914971705524,0.580831186009434,"Cd52","CD52 antigen"
"67477",159.356915835208,0.156371033346115,0.0740859929824099,2.1106693323695,0.0348007437380251,0.133522092574491,"Abhd15","abhydrolase domain containing 15"
"16950",14.533884492038,-0.185847713993619,0.226139108419185,-0.821829162115211,0.411174133965969,0.629600951642233,"Loxl3","lysyl oxidase-like 3"
"18519",518.560388426667,-0.0588993413170846,0.0607239549080362,-0.969952326166586,0.332070255951682,0.559370400164331,"Kat2b","K(lysine) acetyltransferase 2B"
"19344",584.47556620724,-0.0188247541239771,0.0519373331395224,-0.362451304024544,0.717014806861001,0.85630880085864,"Rab5b","RAB5B, member RAS oncogene family"
"234847",305.280896456386,-0.0403668744648676,0.0511514577551362,-0.789163715687346,0.430016325999059,0.647494138053125,"Spg7","SPG7, paraplegin matrix AAA peptidase subunit"
"57429",31.910411615961,0.653241101783009,0.203774698786532,3.20570269848527,0.00134733115016425,0.0112463475978997,"Sult5a1","sulfotransferase family 5A, member 1"
