"GeneID","Symbol","Description"
"108167983","Gm48355","hippocalcin-like protein 1"
"108167985","Gm46338","predicted gene, 46338"
"108167986","Gm46339","predicted gene, 46339"
"108167992","Gm46342","predicted gene, 46342"
"108167994","Gm46344","predicted gene, 46344"
"108167998","Gm46348","predicted gene, 46348"
"108167999","Gm46349","predicted gene, 46349"
"108168000","Gm46350","predicted gene, 46350"
"108168006","Gm46355","predicted gene, 46355"
"108168013","Gm46362","predicted gene, 46362"
"108168015","Gm46364","predicted gene, 46364"
"108168018","Gm46367","predicted gene, 46367"
"108168023","Gm8482","60S ribosomal protein L29 pseudogene"
"108168028","Gm46376","predicted gene, 46376"
"108168031","Gm46379","DNA repair protein SWI5 homolog pseudogene"
"108168035","9230104M06Rik","RIKEN cDNA 9230104M06 gene"
"108168040","Gm47412","predicted gene, 47412"
"108168046","Gm46387","nucleoside diphosphate kinase A pseudogene"
"108168047","Gm46388","40S ribosomal protein S8 pseudogene"
"108168048","Gm46389","predicted gene, 46389"
"108168050","Gm46391","predicted gene, 46391"
"108168051","Gm11341","ribosomal protein L27a pseudogene"
"108168052","Gm46392","predicted gene, 46392"
"108168057","Gm46396","predicted gene, 46396"
"108168062","Gm46400","predicted gene, 46400"
"108168064","Gm26861","predicted gene, 26861"
"108168065","Gm7042","NHP2-like protein 1 pseudogene"
"108168068","Gm11274","predicted gene 11274"
"108168069","Gm46404","predicted gene, 46404"
"108168073","Gm11380","60S ribosomal protein L17-like"
"108168076","Gm46409","predicted gene, 46409"
"108168078","Gm46411","predicted gene, 46411"
"108168079","Gm28707","predicted gene 28707"
"108168080","Gm46412","predicted gene, 46412"
"108168081","Gm36550","predicted gene, 36550"
"108168084","Gm46415","predicted gene, 46415"
"108168085","Gm46416","predicted gene, 46416"
"108168094","Gm46424","predicted gene, 46424"
"108168098","Gm46427","predicted gene, 46427"
"108168101","Gm46430","predicted gene, 46430"
"108168103","Gm46432","predicted gene, 46432"
"108168109","Gm46436","predicted gene, 46436"
"108168111","Hmgb1-ps9","high mobility group box 1, pseudogene 9"
"108168114","Gm5451","predicted gene 5451"
"108168115","Gm46440","predicted gene, 46440"
"108168145","Gm5459","predicted gene 5459"
"108168146","Gm46447","predicted gene, 46447"
"108168147","Gm46448","predicted gene, 46448"
"108168148","Gm5798","predicted gene 5798"
"108168152","Gm8126","predicted gene 8126"
"108168153","Gm17124","predicted gene 17124"
"108168154","Gm9732","predicted gene 9732"
"108168155","Gm5799","predicted gene 5799"
"108168156","Gm17654","predicted gene, 17654"
"108168159","Gm46453","transcription initiation factor TFIID subunit 13 pseudogene"
"108168161","Gm16082","60S ribosomal protein L24 pseudogene"
"108168162","Gm43305","predicted gene 43305"
"108168163","Gm46455","predicted gene, 46455"
"108168167","Gm46458","predicted gene, 46458"
"108168176","Gm10338","predicted gene 10338"
"108168185","Gm3030","predicted gene 3030"
"108168186","Gm7876","predicted gene 7876"
"108168188","Gm46474","predicted gene, 46474"
"108168189","Gm9611","predicted gene 9611"
"108168190","Gm16545","predicted gene 16545"
"108168191","Gm46475","DNA repair protein SWI5 homolog pseudogene"
"108168192","Gm46476","predicted gene, 46476"
"108168193","Gm46477","predicted gene, 46477"
"108168208","Gm45521","predicted gene 45521"
"108168212","Gm46495","predicted gene, 46495"
"108168213","Gm46496","predicted gene, 46496"
"108168214","Gm46497","predicted gene, 46497"
"108168215","Polr2d-ps1","polymerase (RNA) II (DNA directed) polypeptide D, pseudogene 1"
"108168216","Gm46499","coiled-coil-helix-coiled-coil-helix domain-containing protein 2 pseudogene"
"108168217","Gm28117","predicted gene 28117"
"108168218","Gm5218","predicted gene 5218"
"108168220","Gm46501","predicted gene, 46501"
"108168221","Gm27825","predicted gene, 27825"
"108168222","Gm28023","predicted gene, 28023"
"108168225","Gm26513","predicted gene, 26513"
"108168228","Gm46506","predicted gene, 46506"
"108168229","Gm46507","predicted gene, 46507"
"108168233","Gm3362","60S ribosomal protein L23a pseudogene"
"108168238","Gm26766","predicted gene, 26766"
"108168240","Gm46515","predicted gene, 46515"
"108168241","Gm46516","predicted gene, 46516"
"108168244","Gm46519","predicted gene, 46519"
"108168247","Gm46522","predicted gene, 46522"
"108168249","Gm46524","predicted gene, 46524"
"108168250","Gm46525","predicted gene, 46525"
"108168251","Gm46526","predicted gene, 46526"
"108168266","Gm4468","60S ribosomal protein L37 pseudogene"
"108168267","5330439K02Rik","RIKEN cDNA 5330439K02 gene"
"108168270","Gm15696","predicted gene 15696"
"108168271","Gm46540","28S ribosomal protein S21, mitochondrial pseudogene"
"108168272","Gm10237","60S ribosomal protein L35a pseudogene"
"108168273","Gm46541","neo-calmodulin pseudogene"
"108168274","Gm46542","predicted gene, 46542"
"108168275","Gm15554","glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"108168277","Gm46544","predicted gene, 46544"
"108168278","Gm46545","predicted gene, 46545"
"108168279","Gm46546","predicted gene, 46546"
"108168289","Gm9525","non-histone chromosomal protein HMG-17 pseudogene"
"108168293","C030010L15Rik","RIKEN cDNA C030010L15 gene"
"108168294","Gm46555","predicted gene, 46555"
"108168298","Gm46559","predicted gene, 46559"
"108168299","Gm46560","predicted gene, 46560"
"108168301","Gm46562","predicted gene, 46562"
"108168302","Gm46563","predicted gene, 46563"
"108168304","Gm10343","60S ribosomal protein L30-like"
"108168305","Gm46565","predicted gene, 46565"
"108168308","Smim34","small integral membrane protein 34"
"108168314","H2-Pb","histocompatibility 2, P region beta locus"
"108168315","Gm46573","predicted gene, 46573"
"108168316","Gm46574","60S ribosomal protein L26 pseudogene"
"108168317","Gm9386","nuclear transport factor 2 pseudogene"
"108168318","Gm46575","SH2 domain containing 3A pseudogene"
"108168319","Gm46576","predicted gene, 46576"
"108168320","Gm46577","nuclear transport factor 2 pseudogene"
"108168330","Gm46587","predicted gene, 46587"
"108168333","Gm15946","predicted gene 15946"
"108168337","Gm46593","protein FAM32A pseudogene"
"108168341","Gm8835","predicted gene 8835"
"108168342","Gm46597","predicted gene, 46597"
"108168349","Gm46603","predicted gene, 46603"
"108168350","Gm27217","predicted gene 27217"
"108168351","Gm7740","sperm motility kinase Y-like"
"108168352","Gm7805","39S ribosomal protein L20, mitochondrial pseudogene"
"108168356","Gm46606","predicted gene, 46606"
"108168359","Gm46609","predicted gene, 46609"
"108168360","Gm46610","diamine acetyltransferase 1 pseudogene"
"108168363","Gm17669","predicted gene, 17669"
"108168366","Gm8731","40S ribosomal protein S16 pseudogene"
"108168369","Gm46614","predicted gene, 46614"
"108168370","Gm46615","predicted gene, 46615"
"108168374","Gm46618","predicted gene, 46618"
"108168376","Gm46620","predicted gene, 46620"
"108168384","Gm10268","60S ribosomal protein L17 pseudogene"
"108168386","Gm44577","predicted gene 44577"
"108168387","Gm46629","predicted gene, 46629"
"108168391","Gm46633","predicted gene, 46633"
"108168393","Gm7276","predicted gene 7276"
"108168395","Gm45871","predicted gene 45871"
"108168397","Gm46637","predicted gene, 46637"
"108168401","Gm46641","predicted gene, 46641"
"108168404","Gm46644","predicted gene, 46644"
"108168410","Gm46649","predicted gene, 46649"
"108168413","Gm46652","predicted gene, 46652"
"108168419","Gm46658","predicted gene, 46658"
"108168434","Gm9431","predicted gene 9431"
"108168438","Gm14687","predicted gene 14687"
"108168439","Gm14721","predicted gene 14721"
"108168440","Gm14727","predicted gene 14727"
"108168443","Gm8880","60S ribosomal protein L21 pseudogene"
"108168446","Mageb17-ps","MAGE family member B17, pseudogene"
"108168448","Gm9009","predicted pseudogene 9009"
"108168449","Gm14904","histone H2A-Bbd type 2/3-like"
"108168450","Gm7746","mitogen-activated protein kinase 3 pseudogene"
"108168451","Gm15038","vacuolar ATPase assembly integral membrane protein Vma21 pseudogene"
"108168452","Gm15125","histidine-rich glycoprotein-like"
"108168453","Bend2","BEN domain containing 2"
"108168454","Gm15216","40S ribosomal protein S28 pseudogene"
"108168456","Gm7857","60S ribosomal protein L34 pseudogene"
"108168458","Gm14530","60S ribosomal protein L30-like"
"108168459","Gm2101","predicted gene 2101"
"108168460","Gm14551","40S ribosomal protein S27-like"
"108168462","Gm14577","predicted gene 14577"
"108168464","Gm14686","eukaryotic translation initiation factor 1 pseudogene"
"108168465","Gm14846","predicted gene 14846"
"108168466","Spin2f","spindlin family, member 2F"
"108168468","Spin2g","spindlin family, member 2G"
"108168469","Gm7851","ribosomal protein L36 pseudogene"
"108168470","Gm14880","60S ribosomal protein L37 pseudogene"
"108168471","Gm14816","predicted gene 14816"
"108168472","Gm8421","ribosomal protein L36 pseudogene"
"108168473","Gm15211","chromobox protein homolog 1-like"
"108168475","Gm15149","40S ribosomal protein S25 pseudogene"
"108168476","Gm14883","up-regulated during skeletal muscle growth protein 5 pseudogene"
"108168477","Gm2214","60S ribosomal protein L35a pseudogene"
"108168478","Gm14853","ribosomal protein 17a pseudogene"
"108168485","Gm9083","40S ribosomal protein SA pseudogene"
"108168490","Gm14830","proteasome subunit beta type-1 pseudogene"
"108168491","Gm14362","predicted gene 14362"
"108168493","Gm14355","predicted gene 14355"
"108168494","Gm9143","40S ribosomal protein S6 pseudogene"
"108168506","Gm21679","predicted gene, 21679"
"108168509","Gm20835","predicted gene, 20835"
"108168510","Gm20905","predicted gene, 20905"
"108168511","Gm21865","predicted gene, 21865"
"108168515","Gm21209","predicted gene, 21209"
"108168516","Gm20880","predicted gene, 20880"
"108168520","Gm21518","predicted gene, 21518"
"108168521","Gm21530","predicted gene, 21530"
"108168524","Gm20874","predicted gene, 20874"
"108168525","Gm20937","predicted gene, 20937"
"108168526","Gm29452","multifunctional methyltransferase subunit TRM112-like protein pseudogene"
"108168527","Gm20888","predicted gene, 20888"
"108168528","Gm20866","predicted gene, 20866"
"108168530","Gm20843","predicted gene, 20843"
"108168532","Gm21638","predicted gene, 21638"
"108168533","Gm21650","predicted gene, 21650"
"108168535","Gm28891","predicted gene 28891"
"108168536","Gm57478","predicted gene, 57478"
"108168537","Gm20891","predicted gene, 20891"
"108168538","Gm21642","predicted gene, 21642"
"108168539","Gm21396","predicted gene, 21396"
"108168540","Gm20881","predicted gene, 20881"
"108168541","Gm20892","predicted gene, 20892"
"108168542","Gm21506","predicted gene, 21506"
"108168543","Gm21617","predicted gene, 21617"
"108168544","Gm20799","Y-linked testis-specific protein 1-like"
"108168545","Gm20855","predicted gene, 20855"
"108168546","Gm20887","Y-linked testis-specific protein 1-like"
"108168547","Gm20894","predicted gene, 20894"
"108168548","Gm20897","predicted gene, 20897"
"108168549","Gm21127","predicted gene, 21127"
"108168550","Gm20804","predicted gene, 20804"
"108168551","Gm21488","predicted gene, 21488"
"108168552","Gm20890","predicted gene, 20890"
"108168553","Gm20883","predicted gene, 20883"
"108168554","Gm20909","predicted gene, 20909"
"108168555","Gm20896","predicted gene, 20896"
"108168556","Gm20859","predicted gene, 20859"
"108168557","Gm21627","predicted gene, 21627"
"108168558","Gm20920","predicted gene, 20920"
"108168559","Gm21477","predicted gene, 21477"
"108168560","Gm28091","predicted gene 28091"
"108168561","Gm20902","predicted gene, 20902"
"108168562","Gm20805","predicted gene, 20805"
"108168563","Gm20841","predicted gene, 20841"
"108168564","Gm20923","X-linked lymphocyte-regulated protein PM1-like"
"108168565","Gm21302","predicted gene, 21302"
"108168566","Gm20860","predicted gene, 20860"
"108168567","Gm21380","predicted gene, 21380"
"108168568","Gm20930","predicted gene, 20930"
"108168569","Gm20913","predicted gene, 20913"
"108168570","Gm21316","predicted gene, 21316"
"108168571","Gm20862","predicted gene, 20862"
"108168574","Gm21308","predicted gene, 21308"
"108168575","Gm21340","predicted gene, 21340"
"108168576","Gm21111","predicted gene, 21111"
"108168577","Gm21435","predicted gene, 21435"
"108168578","Gm20825","predicted gene, 20825"
"108168579","Gm21394","predicted gene, 21394"
"108168580","Gm20846","predicted gene, 20846"
"108168581","Gm20925","predicted gene, 20925"
"108168582","Gm20911","predicted gene, 20911"
"108168583","Gm21427","predicted gene, 21427"
"108168584","Gm21412","predicted gene, 21412"
"108168585","Gm21443","predicted gene, 21443"
"108168586","Gm21661","predicted gene, 21661"
"108168587","Gm21806","predicted gene, 21806"
"108168588","Gm20884","predicted gene, 20884"
"108168589","Gm21654","predicted gene, 21654"
"108168590","Gm28553","predicted gene 28553"
"108168591","Gm21794","predicted gene, 21794"
"108168592","Gm21198","predicted gene, 21198"
"108168593","Gm20885","predicted gene, 20885"
"108168594","Gm21117","predicted gene, 21117"
"108168595","Gm21171","predicted gene, 21171"
"108168596","Gm20803","predicted gene, 20803"
"108168597","Gm21114","predicted gene, 21114"
"108168598","Gm21275","predicted gene, 21275"
"108168599","Gm20840","predicted gene, 20840"
"108168600","Gm21524","predicted gene, 21524"
"108168601","Gm21715","Y-linked testis-specific protein 1-like"
"108168602","Gm20927","predicted gene, 20927"
"108168603","Gm21151","predicted gene, 21151"
"108168604","Gm20932","predicted gene, 20932"
"108168605","Gm21155","predicted gene, 21155"
"108168606","Gm20808","predicted gene, 20808"
"108168607","Gm21201","predicted gene, 21201"
"108168608","Gm21160","predicted gene, 21160"
"108168609","Gm21469","predicted gene, 21469"
"108168610","Gm20919","predicted gene, 20919"
"108168611","Gm21344","predicted gene, 21344"
"108168612","Gm20844","predicted gene, 20844"
"108168613","Gm20886","Y-linked testis-specific protein 1-like"
"108168614","Gm20812","predicted gene, 20812"
"108168615","Gm20853","predicted gene, 20853"
"108168616","Gm21333","predicted gene, 21333"
"108168617","Gm20791","Y-linked testis-specific protein 1-like"
"108168618","Gm20882","predicted gene, 20882"
"108168619","Gm21387","predicted gene, 21387"
"108168620","Gm20856","Y-linked testis-specific protein 1-like"
"108168621","Gm21257","predicted gene, 21257"
"108168622","Gm21065","predicted gene, 21065"
"108168623","Gm20848","predicted gene, 20848"
"108168624","Gm20847","predicted gene, 20847"
"108168625","Gm21330","predicted gene, 21330"
"108168626","Gm20895","predicted gene, 20895"
"108168627","Gm21476","predicted gene, 21476"
"108168628","Gm20893","predicted gene, 20893"
"108168629","Gm20801","predicted gene, 20801"
"108168630","Gm20936","predicted gene, 20936"
"108168631","Gm21268","predicted gene, 21268"
"108168632","Gm20935","predicted gene, 20935"
"108168633","Gm20776","Y-linked testis-specific protein 1-like"
"108168634","Gm21573","predicted gene, 21573"
"108168635","Gm21281","predicted gene, 21281"
"108168636","Gm38185","predicted gene, 38185"
"108168637","Gm20834","predicted gene, 20834"
"108168638","Gm20830","predicted gene, 20830"
"108168642","Gm20918","predicted gene, 20918"
"108168643","Gm29315","predicted gene 29315"
"108168646","Gm20889","predicted gene, 20889"
"108168647","Gm21634","predicted gene, 21634"
"108168648","Gm21285","predicted gene, 21285"
"108168649","Gm20798","predicted gene, 20798"
"108168650","Gm20933","predicted gene, 20933"
"108168651","Gm20800","predicted gene, 20800"
"108168652","Gm20926","predicted gene, 20926"
"108168653","Gm20810","predicted gene, 20810"
"108168654","Gm21287","predicted gene, 21287"
"108168655","Gm20912","predicted gene, 20912"
"108168656","Gm21282","predicted gene, 21282"
"108168657","Gm21301","predicted gene, 21301"
"108168658","Gm20914","predicted gene, 20914"
"108168659","Gm21163","predicted gene, 21163"
"108168660","Gm21249","predicted gene, 21249"
"108168661","Gm21247","predicted gene, 21247"
"108168662","Gm20924","predicted gene, 20924"
"108168663","Gm20818","predicted gene, 20818"
"108168664","Gm21184","predicted gene, 21184"
"108168665","Gm21470","predicted gene, 21470"
"108168666","Gm21462","predicted gene, 21462"
"108168667","Gm20861","predicted gene, 20861"
"108168668","Gm20863","predicted gene, 20863"
"108168669","Gm21244","predicted gene, 21244"
"108168670","Gm21076","predicted gene, 21076"
"108168671","Gm20813","predicted gene, 20813"
"108168695","Gm15781","predicted gene 15781"
"108168710","Gm12972","predicted gene 12972"
"108168714","Gm16225","predicted gene 16225"
"108168715","Rps15a-ps3","ribosomal protein S15A, pseudogene 3"
"108168719","Gm30613","predicted gene, 30613"
"108168721","Mup-ps10","major urinary protein, pseudogene 10"
"108168725","Gm13351","heterogeneous nuclear ribonucleoprotein A3 pseudogene"
"108168728","Gm13437","heat shock cognate 71 kDa protein-like"
"108168730","Gm13916","60S ribosomal protein L13 pseudogene"
"108168734","2900093K20Rik","RIKEN cDNA 2900093K20 gene"
"108168735","Gm14404","predicted gene 14404"
"108168739","Gm13291","predicted gene 13291"
"108168741","Gm46732","predicted gene, 46732"
"108168742","Gm13427","predicted gene 13427"
"108168745","Gm35202","predicted gene, 35202"
"108168746","Gm10829","predicted gene 10829"
"108168751","Gm13472","60S ribosomal protein L36 pseudogene"
"108168754","Gm13522","predicted gene 13522"
"108168759","Gm13545","60S ribosomal protein L29 pseudogene"
"108168763","Gm13594","predicted gene 13594"
"108168770","Gm13653","predicted gene 13653"
"108168779","Gm13921","60S ribosomal protein L29 pseudogene"
"108168780","Gm13868","60S ribosomal protein L37 pseudogene"
"108168782","Gm21985","predicted gene 21985"
"108168785","G630016G05Rik","RIKEN cDNA G630016G05 gene"
"108168791","Gm14008","non-histone chromosomal protein HMG-17 pseudogene"
"108168796","Gm14102","predicted gene 14102"
"108168799","Gm11686","predicted gene 11686"
"108168806","Gm45609","predicted gene 45609"
"108168809","Gm14279","predicted gene 14279"
"108168811","Gm14228","predicted gene 14228"
"108168815","Platr29","pluripotency associated transcript 29"
"108168820","Gm34294","predicted gene, 34294"
"108168823","Gm46781","predicted gene, 46781"
"108168824","Gm14439","predicted gene 14439"
"108168827","Gm14398","heterogeneous nuclear ribonucleoprotein A3 pseudogene"
"108168828","Dreg1","distal regulatory enhancer RNA of Gata3"
"108168831","Gm13755","60S ribosomal protein L36a-like"
"108168832","Gm13981","predicted gene 13981"
"108168833","Gm11645","high mobility group protein B1 pseudogene"
"108168835","Gm11449","60S ribosomal protein L29 pseudogene"
"108168837","Gm14237","28S ribosomal protein S18c, mitochondrial pseudogene"
"108168840","Gm14407","60S ribosomal protein L27a pseudogene"
"108168841","Gm14417","zinc finger protein 239-like"
"108168848","Gm37996","predicted gene, 37996"
"108168849","Gm37358","cysteine and glycine-rich protein 1 pseudogene"
"108168850","Gm37636","predicted gene, 37636"
"108168851","Gm38237","predicted gene, 38237"
"108168852","Gm38247","predicted gene, 38247"
"108168853","Gm43471","predicted gene 43471"
"108168854","Gm42579","predicted gene 42579"
"108168855","Gm12517","40S ribosomal protein S23 pseudogene"
"108168856","Gm15400","60S ribosomal protein L15 pseudogene"
"108168860","Gm31466","predicted gene, 31466"
"108168861","Gm15462","predicted gene 15462"
"108168862","Gm37770","predicted gene, 37770"
"108168870","Gm43549","predicted gene 43549"
"108168878","Gm21956","predicted gene, 21956"
"108168883","4930481B07Rik","RIKEN cDNA 4930481B07 gene"
"108168884","Gm37500","predicted gene, 37500"
"108168885","Gm46815","predicted gene, 46815"
"108168891","Gm12498","predicted gene 12498"
"108168895","Gm43568","predicted gene 43568"
"108168897","Gm20568","40S ribosomal protein S28 pseudogene"
"108168901","Gm43116","predicted gene 43116"
"108168904","Gm43403","predicted gene 43403"
"108168905","Gm46828","predicted gene, 46828"
"108168906","Gm43707","predicted gene 43707"
"108168908","Gm34866","predicted gene, 34866"
"108168916","Gm8599","40S ribosomal protein S18 pseudogene"
"108168917","Gm8643","40S ribosomal protein S8 pseudogene"
"108168920","Gm37361","thymosin beta-10 pseudogene"
"108168933","Gm12353","predicted gene 12353"
"108168938","Gm46851","predicted gene, 46851"
"108168943","Gm12721","predicted gene 12721"
"108168944","Gm11803","coiled-coil-helix-coiled-coil-helix domain-containing protein 2 pseudogene"
"108168951","Gm53189","predicted gene, 53189"
"108168954","Gm12512","predicted gene 12512"
"108168955","Gm12516","60S ribosomal protein L27 pseudogene"
"108168960","Gm45533","predicted gene 45533"
"108168963","Zfp978","zinc finger protein 978"
"108168964","Gm13171","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 pseudogene"
"108168967","Gm12648","predicted gene 12648"
"108168973","Gm12828","predicted gene 12828"
"108168974","Gm12841","predicted gene 12841"
"108168987","Gm13205","predicted gene 13205"
"108168988","Gm13110","predicted gene 13110"
"108168990","Gm46878","predicted gene, 46878"
"108169000","Gm12643","predicted gene 12643"
"108169002","Gm12637","predicted gene 12637"
"108169004","Gm12726","60S ribosomal protein L15 pseudogene"
"108169006","Gm13106","PRAME family member 12-like"
"108169010","Gm52989","protein FAM205A-2-like"
"108169022","Gm15730","60S ribosomal protein L27 pseudogene"
"108169024","Gm42834","predicted gene 42834"
"108169025","Gm43358","predicted gene 43358"
"108169026","Gm43132","predicted gene 43132"
"108169028","Gm8991","heterogeneous nuclear ribonucleoprotein A3 pseudogene"
"108169035","Gm16288","predicted gene 16288"
"108169039","Gm15522","predicted gene 15522"
"108169040","Gm42935","predicted gene 42935"
"108169042","Gm43700","predicted gene 43700"
"108169047","Gm15477","predicted gene 15477"
"108169048","Gm34144","predicted gene, 34144"
"108169050","Usp46os2","ubiquitin specific peptidase 46, opposite strand 2"
"108169053","Gm15682","predicted gene 15682"
"108169059","Gm8152","high mobility group protein B1 pseudogene"
"108169062","Gm8508","golgin subfamily A member 7 pseudogene"
"108169063","Gm43247","predicted gene 43247"
"108169066","Gm15727","60S ribosomal protein L27a pseudogene"
"108169069","Gm16001","predicted gene 16001"
"108169071","Gm43001","predicted gene 43001"
"108169072","Gm6139","predicted gene 6139"
"108169073","Gm15921","predicted gene 15921"
"108169076","Gm36266","predicted gene, 36266"
"108169080","Gm42808","predicted gene 42808"
"108169081","Gm17135","predicted gene 17135"
"108169082","Gm26597","predicted gene, 26597"
"108169086","Gm42529","predicted gene 42529"
"108169089","Gm15546","mitogen-activated protein kinase 3 pseudogene"
"108169090","Gm6433","40S ribosomal protein S2 pseudogene"
"108169091","Rps10-ps4","ribosomal protein S10, pseudogene 4"
"108169092","Gm42580","predicted gene 42580"
"108169095","Gm43028","predicted gene 43028"
"108169097","Pramel44","PRAME like 44"
"108169099","Gm7647","PRAME family member 8-like"
"108169100","Pramel45","PRAME like 45"
"108169102","Gm42627","predicted gene 42627"
"108169103","Gm43649","predicted gene 43649"
"108169106","Gm43117","predicted gene 43117"
"108169108","Gm43044","predicted gene 43044"
"108169111","Gm43217","predicted gene 43217"
"108169112","Gm7919","PRAME family member 9/15-like"
"108169117","Gm6272","predicted pseudogene 6272"
"108169120","Gm19932","cytochrome c-like"
"108169122","Gm43772","predicted gene 43772"
"108169124","Gm20548","predicted gene 20548"
"108169133","Gm42573","predicted gene 42573"
"108169140","Gm44764","predicted gene 44764"
"108169143","Gm15573","dynactin subunit 5 pseudogene"
"108169144","Gm15526","60S ribosomal protein L29 pseudogene"
"108169145","Gm44026","predicted gene, 44026"
"108169148","Gm46961","predicted gene, 46961"
"108169154","Gm20426","TSR1 20S rRNA accumulation pseudogene"
"108169156","Gm44803","predicted gene 44803"
"108169160","2010109P13Rik","RIKEN cDNA 2010109P13 gene"
"108169163","Gm20404","predicted gene 20404"
"108169165","Gm44173","predicted gene, 44173"
"108169166","Gm44184","thymosin beta-10 pseudogene"
"108169170","Klra11-ps","killer cell lectin-like receptor subfamily A, member 11, pseudogene"
"108169174","Gm44140","predicted gene, 44140"
"108169179","Gm15779","60S ribosomal protein L27 pseudogene"
"108169180","Gm44163","predicted gene, 44163"
"108169183","Gm5581","zinc finger protein 239-like"
"108169184","Gm43975","cyclin-dependent kinase 4 pseudogene"
"108169185","Gm43978","cyclin-dependent kinase 4 pseudogene"
"108169186","Gm43979","cyclin-dependent kinase 4 pseudogene"
"108169187","Gm44003","cyclin-dependent kinase 4 pseudogene"
"108169191","Gm44083","predicted gene, 44083"
"108169193","Gm44768","predicted gene 44768"
"108169194","Gm43309","predicted gene 43309"
"108169196","Gm44336","60S ribosomal protein L23a pseudogene"
"108169197","Gm10420","predicted gene 10420"
"108169199","Gm43124","predicted gene 43124"
"108176","Npm3-ps1","nucleoplasmin 3, pseudogene 1"
"108212","Rbm6-ps1","RNA binding motif protein 6, pseudogene 1"
"108213","Rbm6-ps2","RNA binding motif protein 6, pseudogene 2"
"108292","Atp5k-ps4","ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E, pseudogene 4"
"108637","Snord14c","small nucleolar RNA, C/D box 14C"
"108638","Snord21","small nucleolar RNA, C/D box 21"
"108645","Mat2b","methionine adenosyltransferase 2 non-catalytic beta subunit methionine"
"108652","Slc35b3","solute carrier family 35, member B3"
"108653","Rimklb","ribosomal modification protein rimK-like family member B"
"108654","Fam210a","family with sequence similarity 210, member A"
"108655","Foxp1","forkhead box P1"
"108657","Rnpepl1","arginyl aminopeptidase (aminopeptidase B)-like 1"
"108660","Rnf187","ring finger protein 187"
"108660407","Gm47949","ring finger protein 181 pseudogene"
"108664","Atp6v1h","ATPase, H+ transporting, lysosomal V1 subunit H"
"108670","Epsti1","epithelial stromal interaction 1"
"108671","Dnajc9","DnaJ heat shock protein family (Hsp40) member C9"
"108672","Zdhhc15","zinc finger, DHHC domain containing 15"
"108673","Ccdc86","coiled-coil domain containing 86"
"108679","Cops8","COP9 signalosome subunit 8"
"108682","Gpt2","glutamic pyruvate transaminase (alanine aminotransferase) 2"
"108686","Ccdc88a","coiled coil domain containing 88A"
"108687","Edem2","ER degradation enhancer, mannosidase alpha-like 2"
"108689","Stn1","STN1, CST complex subunit"
"108699","Chn1","chimerin 1"
"108705","Pttg1ip","pituitary tumor-transforming 1 interacting protein"
"108707","Slx9","SLX9 ribosome biogenesis factor"
"108723","Card11","caspase recruitment domain family, member 11"
"108735","Sft2d2","SFT2 domain containing 2"
"108737","Oxsr1","oxidative-stress responsive 1"
"108755","Lyrm2","LYR motif containing 2"
"108760","Galnt16","polypeptide N-acetylgalactosaminyltransferase 16"
"108767","Pnrc1","proline-rich nuclear receptor coactivator 1"
"108797","Mex3b","mex3 RNA binding family member B"
"108800","Ston2","stonin 2"
"108802","Calr4","calreticulin 4"
"108803","Spem2","SPEM family member 2"
"108809","4933407E24Rik","RIKEN cDNA 4933407E24 gene"
"108811","Ccdc122","coiled-coil domain containing 122"
"108812","Flacc1","flagellum associated containing coiled-coil domains 1"
"108816","4933409K07Rik","RIKEN cDNA 4933409K07 gene"
"108829","Jmjd1c","jumonji domain containing 1C"
"108832","Tmem74b","transmembrane protein 74B"
"108837","Ibtk","inhibitor of Bruton agammaglobulinemia tyrosine kinase"
"108841","Rdh13","retinol dehydrogenase 13 (all-trans and 9-cis)"
"108853","Mtrf1l","mitochondrial translational release factor 1-like"
"108857","Ankhd1","ankyrin repeat and KH domain containing 1"
"108871","4930447M23Rik","RIKEN cDNA 4930447M23 gene"
"108888","Atad3a","ATPase family, AAA domain containing 3A"
"108897","Aif1l","allograft inflammatory factor 1-like"
"108899","Zfta","zinc finger translocation associated"
"108900","Fam72a","family with sequence similarity 72, member A"
"108902","B4gat1","beta-1,4-glucuronyltransferase 1"
"108903","Tbcd","tubulin-specific chaperone d"
"108907","Nusap1","nucleolar and spindle associated protein 1"
"108909","Aida","axin interactor, dorsalization associated"
"108911","Rcc2","regulator of chromosome condensation 2"
"108912","Cdca2","cell division cycle associated 2"
"108927","Lhfpl6","LHFPL tetraspan subfamily member 6"
"108934","Smim13","small integral membrane protein 13"
"108937","Rnf169","ring finger protein 169"
"108943","Trmt10a","tRNA methyltransferase 10A"
"108946","Zzz3","zinc finger, ZZ domain containing 3"
"108950","1700049L16Rik","hematological and neurological expressed 1-like pseudogene"
"108954","Ppp1r15b","protein phosphatase 1, regulatory subunit 15B"
"108956","Apol7c","apolipoprotein L 7c"
"108958","Miga2","mitoguardin 2"
"108960","Irak2","interleukin-1 receptor-associated kinase 2"
"108961","E2f8","E2F transcription factor 8"
"108970","4930519F24Rik","RIKEN cDNA 4930519F24 gene"
"108978","4930555G01Rik","RIKEN cDNA 4930555G01 gene"
"108989","Tpr","translocated promoter region, nuclear basket protein"
"108995","Tbc1d10c","TBC1 domain family, member 10c"
