"GeneID","Symbol","Description"
"100038522","Dnmt3aos","DNA methyltransferase 3A, opposite strand"
"100038525","Gm10804","predicted gene 10804"
"100038526","Gm16008","predicted gene 16008"
"100038528","Gm10851","predicted gene 10851"
"100038531","D030062O11Rik","RIKEN cDNA D030062O11 gene"
"100038538","Ramacl","RNA guanine-7 methyltransferase activating subunit like"
"100038543","Gm10832","predicted gene 10832"
"100038545","Gm10745","predicted gene 10745"
"100038546","Gm10743","predicted gene 10743"
"100038548","Gm10521","predicted gene 10521"
"100038549","Gm10779","predicted gene 10779"
"100038552","4732463B04Rik","RIKEN cDNA 4732463B04 gene"
"100038554","Gm15348","predicted gene 15348"
"100038555","Gm10578","predicted gene 10578"
"100038556","Gm10445","predicted gene 10445"
"100038557","Gm10605","predicted gene 10605"
"100038558","Gm10752","predicted gene 10752"
"100038560","Gm10687","predicted gene 10687"
"100038561","B230104I21Rik","RIKEN cDNA B230104I21 gene"
"100038564","Gm10524","predicted gene 10524"
"100038566","Gm10658","predicted gene 10658"
"100038569","Gm10558","predicted gene 10558"
"100038570","Prcd","photoreceptor disc component"
"100038572","Gm12000","predicted gene 12000"
"100038574","Gm10415","predicted gene 10415"
"100038575","Gm10635","predicted gene 10635"
"100038576","F830112A20Rik","RIKEN cDNA F830112A20 gene"
"100038578","Gm10848","predicted gene 10848"
"100038580","6820445E23Rik","RIKEN cDNA 6820445E23 gene"
"100038582","Gm10824","predicted gene 10824"
"100038584","Gm14812","predicted gene 14812"
"100038586","Gm10330","predicted gene 10330"
"100038589","Gm10744","predicted gene 10744"
"100038590","Gm10535","predicted gene 10535"
"100038592","Gm10385","predicted gene 10385"
"100038594","Gm10370","predicted gene 10370"
"100038595","Gm16287","predicted gene 16287"
"100038596","Gm10435","predicted gene 10435"
"100038599","Gm10710","predicted gene 10710"
"100038600","Gm11529","predicted gene 11529"
"100038601","Gm11691","predicted gene 11691"
"100038607","Gm10636","predicted gene 10636"
"100038608","Gm10389","predicted gene 10389"
"100038609","Gm10441","predicted gene 10441"
"100038610","Gm10747","predicted gene 10747"
"100038613","F830212C03Rik","RIKEN cDNA F830212C03 gene"
"100038614","Gm10791","predicted gene 10791"
"100038617","Gm10466","predicted gene 10466"
"100038618","Gm10847","predicted gene 10847"
"100038623","Gm10823","predicted gene 10823"
"100038624","Gm10459","predicted gene 10459"
"100038626","5830462I19Rik","RIKEN cDNA 5830462I19 gene"
"100038627","F630042J09Rik","RIKEN cDNA F630042J09 gene"
"100038629","Gm10463","predicted gene 10463"
"100038631","Gm9888","predicted gene 9888"
"100038634","Gm10657","predicted gene 10657"
"100038637","Gm10134","predicted gene 10134"
"100038639","Gm10739","predicted gene 10739"
"100038645","Gm10699","predicted gene 10699"
"100038646","Gm10576","predicted gene 10576"
"100038649","Gm10690","predicted gene 10690"
"100038652","Gm10688","predicted gene 10688"
"100038653","Gm10538","predicted gene 10538"
"100038654","Gm10371","predicted gene 10371"
"100038657","Myocos","myocilin opposite strand"
"100038658","9830004L10Rik","RIKEN cDNA 9830004L10 gene"
"100038659","Mirt2","myocardial infraction associated transcript 2"
"100038666","Gm12298","predicted gene 12298"
"100038667","Macrod2os2","mono-ADP ribosylhydrolase 2, opposite strand 2"
"100038668","Gm12526","predicted gene 12526"
"100038671","Gm10860","predicted gene 10860"
"100038672","Gm10530","predicted gene 10530"
"100038674","Gm10764","predicted gene 10764"
"100038676","7120432I05Rik","RIKEN cDNA 7120432I05 gene"
"100038682","Gm10475","predicted gene 10475"
"100038683","Gm10775","predicted gene 10775"
"100038687","Gm10577","predicted gene 10577"
"100038689","Gm10421","predicted gene 10421"
"100038690","Gm10732","predicted gene 10732"
"100038691","Gm10344","predicted gene 10344"
"100038692","Gm10537","predicted gene 10537"
